level,sigma,k,n,chunk,pred,lin,chunk_lin,floor,dev,rho,rho_total,rel
worlds/l/cartpole_thrust.json,0.2,5,903,0.19889362156391144,0.2177242934703827,0.24040277302265167,0.29212960600852966,0.0590725839138031,0.21615144610404968,-0.10416145663301446,-0.20870026465580693,1.0946771030584321
worlds/l/cartpole_thrust.json,0.2,6,868,0.2456580102443695,0.2927524149417877,0.7443205714225769,0.859036922454834,0.10457979142665863,0.2537281811237335,-1.5424916531280575,-2.02990556132145,1.1917071812580864
worlds/l/cartpole_thrust.json,0.2,7,843,0.3158876299858093,0.3800404369831085,1.4733290672302246,1.6943734884262085,0.1418023407459259,0.2875475287437439,-2.876769216786552,-3.6640923143980384,1.203087430173132
worlds/l/cartpole_thrust.json,0.4,1,1004,0.07388564199209213,0.0663226991891861,0.06378041952848434,0.06752369552850723,0.013420216739177704,0.138482466340065,0.03833196917166892,0.13676841929165795,0.8976398851117043
worlds/l/cartpole_thrust.json,0.4,2,983,0.16288311779499054,0.1681530922651291,0.2249995470046997,0.23839415609836578,0.03221289813518524,0.22495955228805542,-0.3380636893072422,-0.381355846146626,1.0323543319987987
worlds/l/cartpole_thrust.json,0.4,3,942,0.22423262894153595,0.25010108947753906,0.4661084711551666,0.5034427046775818,0.05164291709661484,0.30120226740837097,-0.8636802907530983,-1.078682631316314,1.1153643903570687
worlds/l/cartpole_thrust.json,0.4,4,916,0.26651641726493835,0.33062243461608887,0.6295198202133179,0.6829286217689514,0.058784499764442444,0.3792916238307953,-0.9040444758211938,-1.3620301768784677,1.2405330898900089
worlds/l/cartpole_thrust.json,0.4,5,899,0.34630459547042847,0.41139447689056396,1.14193856716156,1.2217657566070557,0.05932486802339554,0.4504876434803009,-1.7757751533094353,-2.297497584778866,1.187955580929314
worlds/l/cartpole_thrust.json,0.4,6,863,0.4069701135158539,0.524797260761261,5.039325714111328,5.414360046386719,0.10518496483564377,0.5281717777252197,-8.602423813724519,-11.382544925906497,1.2895228502837397
worlds/l/cartpole_thrust.json,0.4,7,833,0.5021875500679016,0.6226722598075867,9.677225112915039,10.19428825378418,0.14208808541297913,0.6066226959228516,-14.541442485177386,-18.270141427453876,1.2399197465635978
worlds/l/hard_lunar_lander.json,0.05,1,1004,0.014670624397695065,0.0033491465728729963,0.002247248310595751,0.009855258278548717,0.009705795906484127,0.029630236327648163,0.3290086708065466,0.8468198592182061,0.22828929990186297
worlds/l/hard_lunar_lander.json,0.05,2,980,0.03537864238023758,0.002039270242676139,0.000300325860735029,0.03508651256561279,0.03609244152903557,0.042369868606328964,0.8527287583322402,0.9915110970763878,0.05764128031705564
worlds/l/hard_lunar_lander.json,0.05,3,955,0.03407670184969902,0.0019414509879425168,0.00022118331980891526,0.031168054789304733,0.03139291703701019,0.053481459617614746,0.8860731889794871,0.993509250960246,0.056972972223239514
worlds/l/hard_lunar_lander.json,0.05,4,936,0.04670625180006027,0.00306068011559546,0.0012183920480310917,0.0443103164434433,0.043737176805734634,0.06377071142196655,0.6019211410487268,0.9739137267266323,0.06553041611426225
worlds/l/hard_lunar_lander.json,0.05,5,924,0.04327431321144104,0.003442472079768777,0.0009484034380875528,0.042091384530067444,0.04302321374416351,0.07859943807125092,0.7244993086040498,0.9780839170467341,0.07955001071764305
worlds/l/hard_lunar_lander.json,0.05,6,913,0.05929872766137123,0.015743013471364975,0.00901534128934145,0.05548570305109024,0.04763180762529373,0.10288023948669434,0.4273433541971181,0.8479673739237026,0.2654865305250115
worlds/l/hard_lunar_lander.json,0.05,7,894,0.05604963004589081,0.007256851997226477,0.0011702837655320764,0.05356648936867714,0.05255240574479103,0.1013464704155922,0.8387339626081183,0.9791205800185674,0.12947189823170835
worlds/l/hard_lunar_lander.json,0.1,1,1004,0.015032250434160233,0.0086678396910429,0.00503480713814497,0.012802143581211567,0.009705795906484127,0.05734298378229141,0.41913933372028134,0.6650663079226277,0.5766162378019963
worlds/l/hard_lunar_lander.json,0.1,2,980,0.033374715596437454,0.014011441729962826,0.006387015804648399,0.031492237001657486,0.03609244152903557,0.08582828938961029,0.5441571304550296,0.80862710916014,0.41982205629516917
worlds/l/hard_lunar_lander.json,0.1,3,955,0.03682940453290939,0.006490156054496765,0.0026138185057789087,0.031088564544916153,0.03139291703701019,0.1130760982632637,0.5972641514578221,0.929029031586886,0.17622212840007775
worlds/l/hard_lunar_lander.json,0.1,4,935,0.052626464515924454,0.01055657397955656,0.0053223976865410805,0.04627673327922821,0.0432480126619339,0.1327250599861145,0.49582149503728923,0.898864616205967,0.20059439821123085
worlds/l/hard_lunar_lander.json,0.1,5,922,0.0682046115398407,0.033755216747522354,0.021526535972952843,0.05648975446820259,0.04278647527098656,0.1659298688173294,0.3622752852110511,0.6843829839808054,0.49491106224987075
worlds/l/hard_lunar_lander.json,0.1,6,907,0.061339154839515686,0.023191090673208237,0.015360655263066292,0.056791484355926514,0.04690130800008774,0.18720397353172302,0.33764843234338016,0.7495783027455294,0.3780797230396164
worlds/l/hard_lunar_lander.json,0.1,7,890,0.0651635229587555,0.019232582300901413,0.009932580403983593,0.059613607823848724,0.05273406580090523,0.20491620898246765,0.4835545092913466,0.8475745332205211,0.29514337819142245
worlds/l/hard_lunar_lander.json,0.2,1,1004,0.03269355371594429,0.026818271726369858,0.0204144474118948,0.025966165587306023,0.009705795906484127,0.10890375822782516,0.23878586882160302,0.37558187802817855,0.8202923414009557
worlds/l/hard_lunar_lander.json,0.2,2,979,0.049493588507175446,0.03889806196093559,0.02122417278587818,0.052691828459501266,0.036100152879953384,0.16519637405872345,0.45436426094459104,0.5711732887826236,0.7859212300861202
worlds/l/hard_lunar_lander.json,0.2,3,952,0.05046270787715912,0.02842417173087597,0.014362703077495098,0.03824254870414734,0.03139244392514229,0.20578977465629578,0.49470108703665394,0.7153798580833576,0.5632708375473757
worlds/l/hard_lunar_lander.json,0.2,4,934,0.07146670669317245,0.04074014350771904,0.04873502999544144,0.07863360643386841,0.04328479990363121,0.25030791759490967,-0.19624099964713193,0.31807365624562467,0.5700576589128198
worlds/l/hard_lunar_lander.json,0.2,5,921,0.09083779901266098,0.07153007388114929,0.04487120732665062,0.07333812862634659,0.04281892627477646,0.30505961179733276,0.3726945200531133,0.5060293422521558,0.7874483382317468
worlds/l/hard_lunar_lander.json,0.2,6,905,0.08950088918209076,0.07891571521759033,0.07453066110610962,0.10019014775753021,0.0456354133784771,0.34567490220069885,0.0555662975288258,0.1672634564057125,0.8817310748392148
worlds/l/hard_lunar_lander.json,0.2,7,884,0.08824072033166885,0.07521925121545792,0.06380267441272736,0.09282679110765457,0.0476418137550354,0.38895323872566223,0.1517773258607552,0.2769474889493948,0.8524324249930489
worlds/l/hard_lunar_lander.json,0.4,1,1004,0.041507821530103683,0.04068604111671448,0.08213072270154953,0.09797034412622452,0.009705795906484127,0.1847495287656784,-1.0186462100341562,-0.9786806359371079,0.980201793707887
