level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/hard_lunar_lander.json,0.05,1,1004,0.00946740247309208,0.0013224133290350437,0.00014096521772444248,0.00014096521772444248,0.008555818349123001,0.00868110079318285,0.029630236327648163,0.8934030574031616,0.8934030574031616,0.9851104652912889,0.1396806920159527
worlds/l/hard_lunar_lander.json,0.05,2,980,0.026408176869153976,0.0013197829248383641,0.000310419563902542,0.000310419563902542,0.025461211800575256,0.026825429871678352,0.042369868606328964,0.7647949840383338,0.7647949840383338,0.9882453239600524,0.049976298302513045
worlds/l/hard_lunar_lander.json,0.05,3,955,0.034702785313129425,0.001470507588237524,0.00019489221449475735,0.00019489221449475735,0.03208150342106819,0.032396379858255386,0.053481459617614746,0.8674660259806307,0.8674660259806307,0.9943839604591905,0.04237433897506703
worlds/l/hard_lunar_lander.json,0.05,4,936,0.033050402998924255,0.001674520899541676,0.0006431135698221624,0.0006431135698221624,0.03202515095472336,0.03182009980082512,0.06377071142196655,0.6159417478765505,0.6159417478765505,0.9805414303165049,0.05066567265749163
worlds/l/hard_lunar_lander.json,0.05,5,924,0.029659634456038475,0.0028226892463862896,0.0008319427724927664,0.0008319427724927664,0.028564879670739174,0.02897590771317482,0.07859943807125092,0.7052659007512605,0.7052659007512605,0.9719503362819298,0.0951693875583693
worlds/l/hard_lunar_lander.json,0.05,6,913,0.04862130433320999,0.013050835579633713,0.007632323540747166,0.007632323540747166,0.045555684715509415,0.03831687942147255,0.10288023948669434,0.41518506656710363,0.41518506656710363,0.8430251173756762,0.26841804757425136
worlds/l/hard_lunar_lander.json,0.05,7,894,0.04537521302700043,0.006961676757782698,0.0016939013730734587,0.0016939013730734587,0.041262369602918625,0.03944641724228859,0.1013464704155922,0.7566819845262439,0.7566819845262439,0.9626690155247204,0.15342466279199982
worlds/l/hard_lunar_lander.json,0.1,1,1004,0.012190884910523891,0.006687728688120842,0.004092565272003412,0.004092565272003412,0.010130432434380054,0.00868110079318285,0.05734298378229141,0.3880485493867477,0.3880485493867477,0.6642930105532808,0.5485843511120017
worlds/l/hard_lunar_lander.json,0.1,2,980,0.02724512852728367,0.011149321682751179,0.005782592575997114,0.005782592575997114,0.02310785837471485,0.026825429871678352,0.08582828938961029,0.48135027936782826,0.48135027936782826,0.7877568252171634,0.4092225761235109
worlds/l/hard_lunar_lander.json,0.1,3,955,0.03750460222363472,0.0056983293034136295,0.0021077734418213367,0.0021077734418213367,0.03160334751009941,0.032396379858255386,0.1130760982632637,0.630106768213859,0.630106768213859,0.9437996054656712,0.15193680150066077
