predictor,k,rho_clip,res,rho_chunk,share_pred,top1_pred,share_noise,top1_noise,e,e_pred,e_noise,je,je_pred,je_noise,cos_fix,cos_spur,clip,levels,variant
learned,30,0.20574766903033398,0.8067993295507965,-0.08788698305719689,0.014344960768653804,0.007686596776957355,0.015649558568906593,0.008163131087130012,4.286620378494263,4.376286268234253,3.1790465116500854,0.7956470549106598,0.49278052151203156,0.6908338665962219,0.46369168162345886,-0.035730586387217045,0.08747289329767227,10,all
learned,31,0.1607207881144479,0.8309587302327492,-0.08216190953607327,0.013094997065122828,0.006289011936237983,0.01573976809502295,0.00833955679280449,4.441089630126953,4.531351327896118,3.357536554336548,0.8528629243373871,0.6167031526565552,0.52655228972435,0.5028596967458725,-0.014985011424869299,0.1004755087196827,10,all
oracle,1,0.7287701545505547,0.27348643847615606,0.09436481647173744,,,0.01301155108283937,0.011042147425583841,0.17869842052459717,0.0,0.17869842052459717,0.026583692990243435,0.0,0.02658369205892086,0.9509473443031311,0.0,0.0,12,all
oracle,2,0.5467779232563231,0.46278844929123875,0.0856081184412047,,,0.014938489144321143,0.010607300604606969,0.30438540130853653,0.0,0.30438540130853653,0.05936113931238651,0.0,0.059361137449741364,0.9438767731189728,0.0,0.0020083236740902066,12,all
oracle,3,0.5321074557333845,0.46277378070259667,0.07764685003348315,,,0.013886955745031515,0.011307458541574727,0.3936905860900879,0.0,0.3936905860900879,0.061277544125914574,0.0,0.061277544125914574,0.9519855976104736,0.0,0.0010125606786459684,12,all
oracle,4,0.608834310395768,0.3831137768587034,0.08191879366491289,,,0.016170732179294066,0.0107620365544245,0.48461757600307465,0.0,0.48461757600307465,0.07800841331481934,0.0,0.07800841331481934,0.9029288589954376,0.0,0.0018797036027535796,12,all
oracle,5,0.5308564356911568,0.46914788577871436,0.15638077117353244,,,0.01884861618076747,0.013836971184836946,0.5509836077690125,0.0,0.5509836077690125,0.09755381941795349,0.0,0.09755381941795349,0.8899605870246887,0.0,0.003889848943799734,12,all
oracle,6,0.42092904841193113,0.569989709330595,0.1094228925423606,,,0.01565742096359271,0.010340354382352774,0.6022801995277405,0.0,0.6022801995277405,0.1177038736641407,0.0,0.1177038662135601,0.8753560483455658,0.0,0.0020245901541784406,12,all
oracle,7,0.4725503828717403,0.5528793588211021,0.18213799823619664,,,0.016822094219638498,0.014968757496675556,0.6922556161880493,0.0,0.6922556161880493,0.14643864333629608,0.0,0.14643865078687668,0.8650438487529755,0.0,0.008445880375802517,12,all
oracle,8,0.3386097447183482,0.6799283033778335,0.3386097447183482,,,0.014452222793383675,0.010465956904455734,0.8229927122592926,0.0,0.8229927122592926,0.19522444903850555,0.0,0.19522444903850555,0.8421487808227539,0.0,0.010129504837095737,12,all
oracle,9,0.4288761125048332,0.5703220336241255,0.339878665882717,,,0.016798241592742968,0.012400107563003181,0.8599196672439575,0.0,0.8599196672439575,0.16769617050886154,0.0,0.16769617050886154,0.8420190215110779,0.0,0.010757762705907226,12,all
