level,sigma,k,n,chunk,pred,lin,lin_clip,chunk_lin,floor,dev,rho,rho_clip,rho_total,rel
worlds/l/grasp_easy.json,0.1,7,802,0.41093236207962036,0.1318545937538147,0.07337015122175217,0.06957424432039261,0.38179266452789307,0.43179261684417725,0.8163021206855774,0.44355255942965965,0.47234114231700974,0.8214544338867711,0.3208669015176448
worlds/l/grasp_easy.json,0.2,1,992,0.11825395375490189,0.038385163992643356,0.011702114716172218,0.011655661277472973,0.10038955509662628,0.1086043268442154,0.5747589468955994,0.6951396451395917,0.6963498376688759,0.9010425077166848,0.32459941315959767
worlds/l/grasp_easy.json,0.2,2,940,0.2356574386358261,0.08937027305364609,0.04715745151042938,0.0471026673913002,0.1940816342830658,0.1848355531692505,0.8430843353271484,0.4723362713446977,0.4729492729307654,0.7998898240453836,0.37923807358253897
worlds/l/grasp_easy.json,0.2,3,920,0.3051283061504364,0.1714673936367035,0.08857322484254837,0.08068821579217911,0.2525891065597534,0.27328813076019287,1.0163893699645996,0.4834398367877868,0.5294253089124499,0.7097180987237566,0.5619517762870728
worlds/l/grasp_easy.json,0.2,4,896,0.29526206851005554,0.20712634921073914,0.16649048030376434,0.1608992964029312,0.26301950216293335,0.2449101209640503,1.0843594074249268,0.19618879520553,0.22318286873667892,0.43612641764685633,0.7015000276057647
worlds/l/grasp_easy.json,0.2,5,873,0.34498852491378784,0.24156855046749115,0.14151409268379211,0.1413777619600296,0.26876580715179443,0.3340694010257721,1.1727612018585205,0.41418660496190607,0.4147509612222665,0.5898005804130549,0.7002219871743816
worlds/l/grasp_easy.json,0.2,6,830,0.3145037293434143,0.2401701807975769,0.13053226470947266,0.12145277112722397,0.24285104870796204,0.28269389271736145,1.2974129915237427,0.45650095163358595,0.49430536828554816,0.5849579749595233,0.7636481173020662
worlds/l/grasp_easy.json,0.2,7,802,0.4669834077358246,0.27698349952697754,0.18175402283668518,0.17274262011051178,0.3868637979030609,0.42863941192626953,1.339891791343689,0.3438092047104677,0.3763432825221884,0.6107912619038821,0.5931334924080832
worlds/l/grasp_easy.json,0.4,1,992,0.21962018311023712,0.14487488567829132,0.08045101910829544,0.08015690743923187,0.1509578675031662,0.1086043268442154,1.0773979425430298,0.44468622886823395,0.44671633690032353,0.6336811217941954,0.6596610731608952
worlds/l/grasp_easy.json,0.4,2,940,0.30451691150665283,0.22506314516067505,0.12436075508594513,0.12333182245492935,0.21489594876766205,0.1848355531692505,1.5000625848770142,0.44744060607007596,0.4520123569459522,0.5916129765317544,0.7390825818084591
worlds/l/grasp_easy.json,0.4,3,919,0.48214101791381836,0.39933714270591736,0.30034783482551575,0.2791937291622162,0.4139092266559601,0.27358534932136536,1.7501627206802368,0.247884049076046,0.3008570971625798,0.3770539662335839,0.8282579740545908
worlds/l/grasp_easy.json,0.4,4,895,0.5142698287963867,0.4800591766834259,0.39058995246887207,0.3807406723499298,0.43996334075927734,0.24518193304538727,1.9222509860992432,0.1863712403805461,0.20688804455245624,0.24049607696601394,0.9334772327728645
worlds/l/grasp_easy.json,0.4,5,873,0.5152851343154907,0.5414429903030396,0.3748350739479065,0.362263023853302,0.4280003011226654,0.334016352891922,2.132681131362915,0.3077109120239685,0.33093043895434404,0.2725676543224157,1.050763847519679
worlds/l/grasp_easy.json,0.4,6,829,0.5004112720489502,0.5665896534919739,0.4532492756843567,0.42789945006370544,0.4416796565055847,0.2830343246459961,2.265559673309326,0.20003961792998526,0.24478068488102578,0.0942464708508407,1.132247983088099
worlds/l/grasp_easy.json,0.4,7,800,0.7386673092842102,0.6270585060119629,0.4826728105545044,0.4603305757045746,0.5821975469589233,0.4255017340183258,2.351027488708496,0.23025873036271982,0.2658889540750564,0.3465626480448577,0.8489051811695858
worlds/l/catapult.json,0.05,1,1024,0.051434993743896484,0.000549179851077497,0.00021602540800813586,0.00021602540800813586,0.051370128989219666,0.05185466632246971,0.026271702721714973,0.6066399603257628,0.6066399603257628,0.9958000304406809,0.010677163757654103
worlds/l/catapult.json,0.05,2,1016,0.04103277251124382,0.006829294841736555,0.00567779503762722,0.003655921434983611,0.044076718389987946,0.04987071454524994,0.034977227449417114,0.16861181583083196,0.4646707281342122,0.861627799192185,0.16643513035501534
worlds/l/catapult.json,0.05,3,1012,0.09822686016559601,0.009394838474690914,0.002711756154894829,0.002758631482720375,0.09533843398094177,0.10602688789367676,0.04027748107910156,0.7113568091457747,0.7063673324291897,0.9723929264325134,0.09564429178386238
worlds/l/catapult.json,0.05,4,1000,0.07837171107530594,0.0019937404431402683,0.002493008505553007,0.002493008505553007,0.07889531552791595,0.07754165679216385,0.04493863508105278,-0.25041778338325704,-0.25041778338325704,0.9681899441603677,0.02543954209733305
worlds/l/catapult.json,0.05,5,992,0.07713250070810318,0.002464921912178397,0.00023989644250832498,0.00023989644250832498,0.07860534638166428,0.08170901238918304,0.05767412111163139,0.9026758448926626,0.9026758448926626,0.9968898137580657,0.03195698168151631
worlds/l/catapult.json,0.05,6,988,0.1526416689157486,0.008289070799946785,0.007232424337416887,0.0064543625339865685,0.14572660624980927,0.14484353363513947,0.07082021236419678,0.12747465765845323,0.2213406436306462,0.9526182831412249,0.05430411537574306
worlds/l/catapult.json,0.05,7,988,0.16242066025733948,0.01307754684239626,0.008659721352159977,0.008377069607377052,0.1559961587190628,0.16352945566177368,0.06738898158073425,0.33781760015678775,0.35943111438765196,0.9466833755112218,0.0805165230930362
