level,predictor,k,err,ratio
worlds/l/mjc_swimmer.json,oracle,3,0.0,0.0
worlds/l/mjc_swimmer.json,oracle,4,0.0,0.0
worlds/l/mjc_swimmer.json,oracle,5,0.0,0.0
worlds/l/mjc_swimmer.json,oracle,6,0.0,0.0
worlds/l/mjc_swimmer.json,oracle,7,0.0,0.0
worlds/l/mjc_swimmer.json,phys0.1,1,0.5238574743270874,1.4720313671762633
worlds/l/mjc_swimmer.json,phys0.1,2,0.8920508623123169,1.1825630436692733
worlds/l/mjc_swimmer.json,phys0.1,3,1.3400076627731323,1.1098474384191999
worlds/l/mjc_swimmer.json,phys0.1,4,1.7752928733825684,1.0409523542576213
worlds/l/mjc_swimmer.json,phys0.1,5,2.048219680786133,0.9893203205953663
worlds/l/mjc_swimmer.json,phys0.1,6,2.5653529167175293,1.073849502565144
worlds/l/mjc_swimmer.json,phys0.1,7,2.820526599884033,1.1008496071885803
worlds/l/mjc_swimmer.json,phys0.2,1,0.9892673492431641,2.7798258877184727
worlds/l/mjc_swimmer.json,phys0.2,2,1.6333975791931152,2.165342464627718
worlds/l/mjc_swimmer.json,phys0.2,3,2.158078670501709,1.7874062596080385
worlds/l/mjc_swimmer.json,phys0.2,4,2.5986385345458984,1.5237254319880316
worlds/l/mjc_swimmer.json,phys0.2,5,2.8756117820739746,1.3889629109790256
worlds/l/mjc_swimmer.json,phys0.2,6,3.1734378337860107,1.328392135454378
worlds/l/mjc_swimmer.json,phys0.2,7,3.2534098625183105,1.269803649192314
worlds/l/mjc_swimmer.json,phys0.3,1,1.4055819511413574,3.94966345354654
worlds/l/mjc_swimmer.json,phys0.3,2,2.1723766326904297,2.8798496041932817
worlds/l/mjc_swimmer.json,phys0.3,3,2.67324161529541,2.214084621629152
worlds/l/mjc_swimmer.json,phys0.3,4,3.0919029712677,1.8129536401195636
worlds/l/mjc_swimmer.json,phys0.3,5,3.2638449668884277,1.5764852663540003
worlds/l/mjc_swimmer.json,phys0.3,6,3.463672161102295,1.4498834070782107
worlds/l/mjc_swimmer.json,phys0.3,7,3.5539281368255615,1.3870957265787598
worlds/l/mjc_walker.json,hold,1,4.185147285461426,18.627044703637104
worlds/l/mjc_walker.json,hold,2,6.460294246673584,12.568667342031437
worlds/l/mjc_walker.json,hold,3,7.595780849456787,8.286528733049122
worlds/l/mjc_walker.json,hold,4,8.76302433013916,6.685695466861324
worlds/l/mjc_walker.json,hold,5,8.919857025146484,5.36901907455488
worlds/l/mjc_walker.json,hold,6,8.910990715026855,4.639511264580554
worlds/l/mjc_walker.json,hold,7,8.460803985595703,3.871255117083942
worlds/l/mjc_walker.json,learned,1,1.0278223752975464,4.574580540707312
worlds/l/mjc_walker.json,learned,2,1.5619503259658813,3.0388142245921834
worlds/l/mjc_walker.json,learned,3,1.8406543731689453,2.008040470515652
worlds/l/mjc_walker.json,learned,4,2.314887046813965,1.7661288217528375
worlds/l/mjc_walker.json,learned,5,2.680471420288086,1.613422966730748
worlds/l/mjc_walker.json,learned,6,3.0795888900756836,1.6033893203018783
worlds/l/mjc_walker.json,learned,7,3.14398193359375,1.4385342302179966
worlds/l/mjc_walker.json,noise,1,0.22468122839927673,1.0
worlds/l/mjc_walker.json,noise,2,0.5139999389648438,1.0
worlds/l/mjc_walker.json,noise,3,0.9166420698165894,1.0
worlds/l/mjc_walker.json,noise,4,1.310712456703186,1.0
worlds/l/mjc_walker.json,noise,5,1.6613569259643555,1.0
worlds/l/mjc_walker.json,noise,6,1.920674443244934,1.0
worlds/l/mjc_walker.json,noise,7,2.1855454444885254,1.0
worlds/l/mjc_walker.json,oracle,1,0.0,0.0
