what,where,mean,lo,hi,cells
G pred:learned,d1 s4,-3.5264756944444446,-5.360243055555555,-1.6818576388888888,36
G pred:oracle,d1 s4,-1.519097222222222,-3.5264756944444446,0.509982638888889,36
G pred:phys0.1,d1 s4,-4.318576388888888,-6.467013888888889,-2.170138888888889,36
G pred:phys0.2,d1 s4,-8.984375,-11.414930555555555,-6.553819444444445,36
G pred:phys0.3,d1 s4,-14.344618055555555,-17.220323350694443,-11.458333333333332,36
G reflex:learned,d1 s4,0.78125,-1.2803819444444444,2.8862847222222223,36
G reflex:oracle,d1 s4,1.1610243055555556,-0.7381184895833331,3.146701388888889,36
G reflex:phys0.1,d1 s4,-0.06510416666666666,-2.159288194444444,2.0073784722222223,36
G reflex:phys0.2,d1 s4,-1.5733506944444444,-4.513888888888888,0.9876844618055516,36
G reflex:phys0.3,d1 s4,-4.329427083333334,-7.367892795138889,-1.6164822048611152,36
G rtc_reflex:learned,d1 s4,1.6059027777777777,0.68359375,2.5933159722222223,36
G rtc_reflex:oracle,d1 s4,0.759548611111111,-0.021701388888888888,1.5625,36
G rtc_reflex:phys0.2,d1 s4,0.1193576388888889,-0.8680555555555556,1.0633680555555556,36
J learned,d1 s4,4.307725694444445,2.506510416666667,6.239149305555555,36
J oracle,d1 s4,2.6801215277777777,1.46484375,3.9388020833333335,36
J phys0.1,d1 s4,4.253472222222222,2.8862847222222223,5.6640625,36
J phys0.2,d1 s4,7.411024305555555,5.598687065972223,9.331597222222223,36
J phys0.3,d1 s4,10.015190972222223,7.899305555555555,12.022569444444445,36
pred: learned - oracle,d1 s4,-2.0073784722222223,-3.537326388888889,-0.6293402777777778,36
reflex: learned - oracle,d1 s4,-0.3797743055555555,-1.3780381944444444,0.5425347222222222,36
rtc_reflex: learned - oracle,d1 s4,0.8463541666666666,-0.043402777777777776,1.7361111111111112,36
G pred:learned,d1 s5,-5.327690972222222,-7.845052083333333,-3.037923177083337,36
G pred:oracle,d1 s5,-3.982204861111111,-7.378472222222222,-0.6510416666666667,36
G pred:phys0.1,d1 s5,-6.93359375,-10.167100694444445,-3.905978732638893,36
G pred:phys0.2,d1 s5,-12.760416666666666,-16.178656684027775,-9.559461805555555,36
G pred:phys0.3,d1 s5,-18.196614583333336,-21.79904513888889,-14.735243055555555,36
G reflex:learned,d1 s5,-0.5208333333333333,-3.689236111111111,2.669270833333333,36
G reflex:oracle,d1 s5,0.4340277777777778,-2.756076388888889,3.689236111111111,36
G reflex:phys0.1,d1 s5,-0.8029513888888888,-4.134385850694445,2.409125434027774,36
G reflex:phys0.2,d1 s5,-2.897135416666667,-6.781955295138889,0.6944444444444444,36
G reflex:phys0.3,d1 s5,-6.803385416666667,-10.83984375,-3.0815972222222223,36
G rtc_reflex:learned,d1 s5,2.365451388888889,0.9548611111111112,3.9496527777777777,36
G rtc_reflex:oracle,d1 s5,0.68359375,-0.4123263888888889,1.7689344618055516,36
G rtc_reflex:phys0.2,d1 s5,0.021701388888888888,-1.2912326388888888,1.3454861111111112,36
J learned,d1 s5,4.806857638888888,2.9402669270833335,6.846788194444445,36
J oracle,d1 s5,4.416232638888888,2.951388888888889,5.924479166666666,36
J phys0.1,d1 s5,6.130642361111112,4.535319010416667,7.758246527777778,36
J phys0.2,d1 s5,9.86328125,7.866753472222222,11.805555555555555,36
J phys0.3,d1 s5,11.393229166666668,8.875868055555555,13.8671875,36
pred: learned - oracle,d1 s5,-1.3454861111111112,-3.0818684895833335,0.2495659722222222,36
reflex: learned - oracle,d1 s5,-0.9548611111111112,-2.0073784722222223,0.09765625,36
rtc_reflex: learned - oracle,d1 s5,1.6818576388888888,0.6184895833333333,2.756076388888889,36
G pred:learned,d1 s6,-10.286458333333332,-13.585069444444445,-7.074652777777778,36
G pred:oracle,d1 s6,-6.857638888888889,-10.52517361111111,-3.2657877604166705,36
G pred:phys0.1,d1 s6,-11.046006944444445,-15.08273654513889,-7.009548611111111,36
G pred:phys0.2,d1 s6,-17.317708333333336,-21.50634765625,-13.031412760416671,36
G pred:phys0.3,d1 s6,-24.110243055555554,-28.99332682291667,-19.325086805555554,36
G reflex:learned,d1 s6,-0.9874131944444444,-4.134114583333334,2.1484375,36
G reflex:oracle,d1 s6,-0.03255208333333333,-3.3745659722222223,3.5481770833333335,36
G reflex:phys0.1,d1 s6,-1.030815972222222,-4.665798611111112,2.723524305555556,36
G reflex:phys0.2,d1 s6,-4.644097222222222,-8.63742404513889,-1.0088433159722263,36
G reflex:phys0.3,d1 s6,-8.10546875,-12.532552083333334,-4.134114583333334,36
G rtc_reflex:learned,d1 s6,2.701822916666667,1.2912326388888888,4.144965277777778,36
G rtc_reflex:oracle,d1 s6,1.6710069444444444,0.705295138888889,2.712673611111111,36
G rtc_reflex:phys0.2,d1 s6,0.08680555555555555,-1.2478298611111112,1.5625,36
J learned,d1 s6,9.29904513888889,6.597222222222222,12.087944878472218,36
J oracle,d1 s6,6.825086805555555,4.611545138888888,9.06032986111111,36
J phys0.1,d1 s6,10.015190972222223,7.150336371527779,12.944878472222221,36
J phys0.2,d1 s6,12.67361111111111,10.047743055555555,15.169270833333334,36
J phys0.3,d1 s6,16.004774305555554,12.5,19.520399305555554,36
pred: learned - oracle,d1 s6,-3.4288194444444446,-5.219455295138888,-1.6493055555555556,36
reflex: learned - oracle,d1 s6,-0.9548611111111112,-2.332899305555556,0.3038194444444445,36
rtc_reflex: learned - oracle,d1 s6,1.030815972222222,0.16276041666666669,1.8880208333333333,36
G pred:learned,d1 s7,-13.172743055555555,-16.807725694444446,-9.722222222222223,36
G pred:oracle,d1 s7,-8.86501736111111,-13.37917751736111,-4.459635416666666,36
G pred:phys0.1,d1 s7,-13.79123263888889,-18.370225694444446,-9.27734375,36
G pred:phys0.2,d1 s7,-21.158854166666664,-25.987684461805554,-16.44965277777778,36
G pred:phys0.3,d1 s7,-27.58246527777778,-32.87760416666667,-22.081163194444446,36
G reflex:learned,d1 s7,-0.8029513888888888,-3.9605034722222223,2.365722656249996,36
G reflex:oracle,d1 s7,-0.5533854166666667,-4.253743489583333,3.320583767361107,36
G reflex:phys0.1,d1 s7,-2.517361111111111,-6.174045138888888,1.1067708333333335,36
G reflex:phys0.2,d1 s7,-5.772569444444445,-9.874403211805555,-1.9097222222222223,36
G reflex:phys0.3,d1 s7,-9.830729166666668,-14.67013888888889,-5.338541666666666,36
G rtc_reflex:learned,d1 s7,3.6783854166666665,1.9965277777777777,5.4256184895833295,36
G rtc_reflex:oracle,d1 s7,1.2369791666666665,0.1193576388888889,2.4199761284722183,36
G rtc_reflex:phys0.2,d1 s7,-0.3472222222222222,-2.376302083333333,1.5516493055555556,36
J learned,d1 s7,12.369791666666668,9.15798611111111,15.72265625,36
J oracle,d1 s7,8.311631944444445,5.978732638888888,10.590277777777777,36
J phys0.1,d1 s7,11.273871527777777,8.344184027777777,14.214409722222221,36
J phys0.2,d1 s7,15.386284722222221,12.272135416666668,18.60894097222222,36
J phys0.3,d1 s7,17.75173611111111,13.704427083333334,21.95095486111111,36
pred: learned - oracle,d1 s7,-4.307725694444445,-6.879611545138889,-1.953125,36
reflex: learned - oracle,d1 s7,-0.2495659722222222,-1.6061740451388886,1.1829969618055516,36
rtc_reflex: learned - oracle,d1 s7,2.44140625,1.1393229166666665,3.7977430555555554,36
